row_id,order_id,product_id,sales,profit
1,11692,105,7415.46,1424.13
2,17314,109,13179.42,3791.05
3,15216,120,5717.47,1212.11
4,15132,112,6089.54,1009.82
5,16625,123,63913.6,21794.74
6,10767,103,845.88,145.93
7,17188,102,1786.39,535.82
8,15254,120,655.49,235.47
9,19939,121,1096.48,312.42
10,14790,111,1513.64,649.95
11,10625,115,3428.89,16.71
12,14564,108,225.15,78.06
13,10120,115,1996.23,574.45
14,17788,102,2594.77,306.15
15,14417,117,50270.95,20699.21
16,13074,121,146.0,1.23
17,16559,111,3572.47,-27.48
18,15727,113,4807.08,706.0
19,13044,104,8870.92,3967.44
20,13338,123,61988.87,14809.41
21,17870,106,62736.14,-1424.55
22,11612,117,244.4,9.25
23,17437,101,542.19,242.58
24,14055,102,1580.74,681.9
25,15178,103,65365.82,22362.78
26,11472,103,5346.64,2147.03
27,11565,115,1191.24,83.96
28,13453,102,848.39,311.13
29,13366,122,3181.08,246.42
30,10755,119,1081.33,101.92
31,19645,103,15532.13,6231.07
32,12343,109,12814.54,-446.89
33,11070,109,2935.65,-116.34
34,10231,121,76502.71,31111.36
35,10321,117,102974.15,38563.42
36,12834,105,1391.11,342.41
37,13708,121,1042.36,338.37
38,16548,116,91269.17,5384.02
39,14790,109,9123.88,869.53
40,10663,105,1783.62,81.31
41,18748,116,2158.38,120.55
42,13707,121,91319.77,14894.79
43,14193,105,2816.54,694.66
44,10919,105,46438.35,-2300.92
45,13270,106,355.2,121.16
46,10085,105,183.41,26.98
47,17126,119,717.32,-30.14
48,15220,101,9564.25,182.04
49,11984,102,2900.81,795.65
50,10837,102,3106.95,1001.55
51,16227,101,273.37,84.24
52,13023,104,74341.99,23878.11
53,10580,119,10300.86,2934.41
54,18260,116,1435.13,184.21
55,19364,109,100688.8,9370.48
56,12925,120,8111.74,1667.8
57,11313,105,2552.38,50.61
58,14806,121,10142.27,3600.05
59,19138,108,3231.25,1095.47
60,15830,113,2157.01,563.68
61,16721,101,179.78,33.62
62,19469,102,706.44,201.48
63,12356,119,1425.24,-42.56
64,14100,103,754.31,-65.97
65,11047,106,477.05,9.36
66,15263,101,4065.61,37.06
67,10815,105,2497.18,321.25
68,14177,110,62210.55,26053.8
69,19095,108,596.12,-17.54
70,15962,109,5289.49,-316.96
71,12361,119,628.21,-32.55
72,11671,105,25358.47,9488.95
73,18877,102,295.14,123.07
74,19255,108,4043.15,1075.48
75,18802,105,2192.28,929.75
76,10377,116,981.1,103.25
77,10504,103,50159.13,-4796.55
78,19238,111,33695.28,5111.6
79,17141,119,685.77,138.01
80,11510,104,1635.65,26.68
81,19156,107,3641.47,871.34
82,11096,112,4806.68,1414.32
83,12893,101,1561.67,522.71
84,17491,103,23342.16,1107.34
85,10151,102,129961.24,29880.74
86,18681,114,7499.53,974.21
87,10580,103,5073.98,1626.08
88,12148,109,53161.44,9159.1
89,11583,122,8615.34,-730.13
90,17627,105,1956.2,-92.81
91,17028,101,511.82,-24.46
92,16939,102,40526.0,6234.95
93,11153,102,10008.33,3787.96
94,17340,108,60715.16,-4762.26
95,13100,108,834.77,24.93
96,10380,102,126.99,-11.78
97,18345,105,3390.76,695.36
98,16553,121,4101.06,-306.55
99,17081,108,1433.36,127.36
100,13743,101,620.58,208.58
101,11744,105,2459.67,675.91
102,19860,117,64917.75,1734.42
103,18849,102,287.91,65.66
104,15888,109,109846.61,13584.67
105,14917,101,6697.6,-25.37
106,14095,108,10595.39,-94.55
107,10553,122,327.74,83.86
108,12808,121,1174.71,441.04
109,15635,101,1583.62,337.99
110,13964,105,871.89,-74.62
111,10685,109,4830.46,1366.32
112,18111,108,27924.35,4927.93
113,11370,113,416.42,97.72
114,12453,101,2643.57,-101.61
115,12132,102,3248.91,-304.03
116,16639,125,818.92,276.18
117,16496,124,308.87,-11.56
118,12575,102,905.74,239.18
119,14571,105,28022.12,141.4
120,13372,107,1676.15,190.28
121,19849,101,4351.92,529.29
122,16925,109,19354.32,-391.21
123,10702,121,883.36,91.29
124,19261,110,901.01,4.88
125,14028,115,183.92,13.62
126,11597,102,1417.18,273.46
127,10971,122,4056.66,1591.69
128,10711,105,201.59,-13.38
129,17538,102,13405.41,4354.69
130,14500,101,988.26,-83.33
131,11811,123,155431.5,-12163.66
132,18826,101,9347.01,-123.85
133,16326,101,397.99,49.82
134,18554,120,8054.04,991.54
135,18545,101,96239.81,38025.68
136,14257,106,3706.99,111.62
137,10984,117,36558.85,-154.99
138,11043,101,430.53,13.74
139,11106,105,832.14,-80.2
140,13318,105,689.42,206.31
141,18200,103,4896.82,1244.49
142,16031,108,128130.62,10446.85
143,16511,105,8641.31,533.4
144,19137,103,14084.45,2140.33
145,12355,115,7291.65,758.24
146,13931,119,15002.0,1554.31
147,13790,121,129.77,-8.52
148,18004,109,14499.99,-684.47
149,10600,103,6219.12,-269.21
150,14174,123,36309.64,14488.01
151,18840,101,2550.02,-196.92
152,19647,106,11693.32,652.27
153,10973,116,1007.72,18.13
154,17704,105,3463.17,213.97
155,13697,106,326.05,-17.76
156,11058,112,3934.17,1651.78
157,13081,102,198.2,76.54
158,13661,117,521.42,35.15
159,10330,103,3192.08,1315.08
160,11994,121,565.74,133.3
161,13392,117,1458.78,358.49
162,18567,102,1905.54,71.96
163,14728,121,99477.22,3723.19
164,15854,102,1723.05,722.1
165,12866,104,2284.99,521.94
166,16448,108,43983.22,3925.89
167,13204,102,119.71,12.34
